block_id,command,elapsed_seconds,execution_mode,exit_code,expected_repetitions,git_sha,host_arch,phase,repetition,runner_image_os,runner_image_version,runner_label,schema_version,started_at,target_arch,trial_class,workload
33790860277.1,"[""python3"",""scripts/fetch_fixture.py"",""brotli"",""workloads/brotli""]",0.390618118,emulated,0,1,b9d8f62d3a874ecc1fcab110476afec6397f63eb,amd64,fetch,1,ubuntu24,20260831.293.1,ubuntu-24.04,2,2026-09-03T18:30:18.051381Z,arm64,retained,brotli
33790860277.1,"[""docker"",""buildx"",""build"",""--builder"",""builder-91a4937f-257f-44e2-a39c-0360d5d631b4"",""--platform"",""linux/arm64"",""--target"",""prepared"",""--provenance=false"",""--sbom=false"",""--output"",""type=cacheonly"",""--progress"",""plain"",""workloads/brotli""]",11.577487035,emulated,0,1,b9d8f62d3a874ecc1fcab110476afec6397f63eb,amd64,prepare,1,ubuntu24,20260831.293.1,ubuntu-24.04,2,2026-09-03T18:30:18.559170Z,arm64,retained,brotli
33790860277.1,"[""docker"",""buildx"",""build"",""--builder"",""builder-91a4937f-257f-44e2-a39c-0360d5d631b4"",""--platform"",""linux/arm64"",""--target"",""benchmark"",""--build-arg"",""BENCHMARK_ITERATION=33790860277-1-1"",""--provenance=false"",""--sbom=false"",""--output"",""type=cacheonly"",""--progress"",""plain"",""workloads/brotli""]",341.051160184,emulated,0,1,b9d8f62d3a874ecc1fcab110476afec6397f63eb,amd64,build-test,1,ubuntu24,20260831.293.1,ubuntu-24.04,2,2026-09-03T18:30:30.195105Z,arm64,retained,brotli
33790860277.1,"[""workflow-step-outcomes"",""success"",""success""]",0.0,emulated,0,1,b9d8f62d3a874ecc1fcab110476afec6397f63eb,amd64,verification,1,ubuntu24,20260831.293.1,ubuntu-24.04,2,2026-09-03T18:36:12.325865Z,arm64,retained,brotli
33790863851.1,[],0.0,native,0,1,b9d8f62d3a874ecc1fcab110476afec6397f63eb,arm64,attempt,1,ubuntu24-arm64,20260831.111.1,ubuntu-24.04-arm,2,2026-09-03T18:30:13.864072Z,arm64,retained,brotli
33790863851.1,"[""python3"",""scripts/fetch_fixture.py"",""brotli"",""workloads/brotli""]",0.429585046,native,0,1,b9d8f62d3a874ecc1fcab110476afec6397f63eb,arm64,fetch,1,ubuntu24-arm64,20260831.111.1,ubuntu-24.04-arm,2,2026-09-03T18:30:22.810997Z,arm64,retained,brotli
33790863851.1,"[""docker"",""buildx"",""build"",""--builder"",""builder-67db4e40-6fd8-4fcd-a9f9-c5cb0d483148"",""--platform"",""linux/arm64"",""--target"",""prepared"",""--provenance=false"",""--sbom=false"",""--output"",""type=cacheonly"",""--progress"",""plain"",""workloads/brotli""]",12.232425523,native,0,1,b9d8f62d3a874ecc1fcab110476afec6397f63eb,arm64,prepare,1,ubuntu24-arm64,20260831.111.1,ubuntu-24.04-arm,2,2026-09-03T18:30:23.345273Z,arm64,retained,brotli
33790863851.1,"[""docker"",""buildx"",""build"",""--builder"",""builder-67db4e40-6fd8-4fcd-a9f9-c5cb0d483148"",""--platform"",""linux/arm64"",""--target"",""benchmark"",""--build-arg"",""BENCHMARK_ITERATION=33790863851-1-1"",""--provenance=false"",""--sbom=false"",""--output"",""type=cacheonly"",""--progress"",""plain"",""workloads/brotli""]",25.80598243,native,0,1,b9d8f62d3a874ecc1fcab110476afec6397f63eb,arm64,build-test,1,ubuntu24-arm64,20260831.111.1,ubuntu-24.04-arm,2,2026-09-03T18:30:35.646308Z,arm64,retained,brotli
33790863851.1,"[""workflow-step-outcomes"",""success"",""success""]",0.0,native,0,1,b9d8f62d3a874ecc1fcab110476afec6397f63eb,arm64,verification,1,ubuntu24-arm64,20260831.111.1,ubuntu-24.04-arm,2,2026-09-03T18:31:02.043020Z,arm64,retained,brotli
33790863851.1,[],0.0,emulated,0,1,b9d8f62d3a874ecc1fcab110476afec6397f63eb,amd64,attempt,1,ubuntu24,20260823.283.1,ubuntu-24.04,2,2026-09-03T18:30:11.831743Z,arm64,retained,brotli
33790863851.1,"[""python3"",""scripts/fetch_fixture.py"",""brotli"",""workloads/brotli""]",0.32173278,emulated,0,1,b9d8f62d3a874ecc1fcab110476afec6397f63eb,amd64,fetch,1,ubuntu24,20260823.283.1,ubuntu-24.04,2,2026-09-03T18:30:24.820739Z,arm64,retained,brotli
33790863851.1,"[""docker"",""buildx"",""build"",""--builder"",""builder-c72737c6-d7e1-4294-9e4a-9c6b191227a5"",""--platform"",""linux/arm64"",""--target"",""prepared"",""--provenance=false"",""--sbom=false"",""--output"",""type=cacheonly"",""--progress"",""plain"",""workloads/brotli""]",12.162587493,emulated,0,1,b9d8f62d3a874ecc1fcab110476afec6397f63eb,amd64,prepare,1,ubuntu24,20260823.283.1,ubuntu-24.04,2,2026-09-03T18:30:25.263298Z,arm64,retained,brotli
33790863851.1,"[""docker"",""buildx"",""build"",""--builder"",""builder-c72737c6-d7e1-4294-9e4a-9c6b191227a5"",""--platform"",""linux/arm64"",""--target"",""benchmark"",""--build-arg"",""BENCHMARK_ITERATION=33790863851-1-1"",""--provenance=false"",""--sbom=false"",""--output"",""type=cacheonly"",""--progress"",""plain"",""workloads/brotli""]",322.057216167,emulated,0,1,b9d8f62d3a874ecc1fcab110476afec6397f63eb,amd64,build-test,1,ubuntu24,20260823.283.1,ubuntu-24.04,2,2026-09-03T18:30:37.483649Z,arm64,retained,brotli
33790863851.1,"[""workflow-step-outcomes"",""success"",""success""]",0.0,emulated,0,1,b9d8f62d3a874ecc1fcab110476afec6397f63eb,amd64,verification,1,ubuntu24,20260823.283.1,ubuntu-24.04,2,2026-09-03T18:36:00.638279Z,arm64,retained,brotli
33791562096.1,[],0.0,native,0,1,b9d8f62d3a874ecc1fcab110476afec6397f63eb,arm64,attempt,1,ubuntu24-arm64,20260831.111.1,ubuntu-24.04-arm,2,2026-09-03T18:37:06.312722Z,arm64,retained,brotli
33791562096.1,"[""python3"",""scripts/fetch_fixture.py"",""brotli"",""workloads/brotli""]",0.149789164,native,0,1,b9d8f62d3a874ecc1fcab110476afec6397f63eb,arm64,fetch,1,ubuntu24-arm64,20260831.111.1,ubuntu-24.04-arm,2,2026-09-03T18:37:14.086438Z,arm64,retained,brotli
33791562096.1,"[""docker"",""buildx"",""build"",""--builder"",""builder-67c3f471-af57-4d2f-8148-21b7476ba049"",""--platform"",""linux/arm64"",""--target"",""prepared"",""--provenance=false"",""--sbom=false"",""--output"",""type=cacheonly"",""--progress"",""plain"",""workloads/brotli""]",10.31086479,native,0,1,b9d8f62d3a874ecc1fcab110476afec6397f63eb,arm64,prepare,1,ubuntu24-arm64,20260831.111.1,ubuntu-24.04-arm,2,2026-09-03T18:37:14.335880Z,arm64,retained,brotli
